Insult,Comment
1,"""You fuck your dad."""
0,"""i really don't understand your point.\xa0 It seems that you are mixing apples and oranges."""
0,"""A\\xc2\\xa0majority of Canadians can and has been wrong before now and will be again.\\n\\nUnless you're supportive of the idea that nothing is full proof or perfect so you take your chances and if we should inadvertently kill your son or daughter then them's the breaks and we can always regard you as collateral damage like in wartime - and sorry
0,"""listen if you dont wanna get married to a man or a women DONT DO IT. what would it bother you if gay people got married stay in your lane do you let them do them. And your god is so nice but quick to judg if your not like him
0,"""C\xe1c b\u1ea1n xu\u1ed1ng \u0111\u01b0\u1eddng bi\u1ec3u t\xecnh 2011 c\xf3 \xf4n ho\xe0 kh\xf4ng ? \nC\xe1c ng\u01b0 d\xe2n ng\u1ed3i cu\xed \u0111\u1ea7u chi\u1ee5 nh\u1ee5c c\xf3 \xf4n ho\xe0 kh\xf4ng ?\nC\xe1c n\xf4ng d\xe2n gi\u1eef \u0111\u1ea5t \u1edf V\u0103n Giang
0,"""@SDL OK
0,"""Yeah and where are you now?"""
1,"""shut the fuck up. you and the rest of your faggot friends should be burned at the stake"""
1,"""Either you are fake or extremely stupid...maybe both..."""
1,"""That you are an idiot who understands neither taxation nor women's health."""
0,"""@jdstorm dont wish him injury but it happened on its OWN and i DOUBT he's injured
0,"""Be careful
0,"""@tonnyb  Or they just don't pay attention """
0,"""Hmmm. Perhaps some who are too pig-faced to get laid and therefore have zero chance of getting pregnant from such activity hold something against women who can?? IDK. Stream of consciousnees thought after looking at her. """
0,"""@barrettmarson Huh? Her income was $21
1,"""FOR SOME REASON U SOUND RETARDED. LOL. DAMN. WHERE U BEEN NEGRO"""
1,"""You with the 'racist' screen name\n\nYou are a PieceOfShit.........."""
0,"""Oh! & cheating as well...1966 cup was a cheat fest
1,"""your such a dickhead..."""
1,"""Your a retard go post your head up your #%&*"""
0,"""@EephusBlue\xa0Makes you want to say ""Mike MacWHOgal?"""""
0,"""http://www.youtube.com/watch?v=tLYLLPHKRU4"""
0,"""And you know they've burned holes in all the carpeting."""
0,"""you are a land creature. You would drown...."""
0,"""To all those doom-and-gloomers
0,"""Craig
0,"""Strange you are talking about that when there were Chelsea fans in here belittling the Community Shield"""
0,"""But how would you actually get the key out?"""
0,"""oh cool
0,"""Even though I think there are better coaches out there
0,"""russellpiano\xa0\nHmmmm...how can we spin Obama honoring Vietnam troops as something negative.Answer: Doesn't matter! Look at our followers. They'll take anything.\n\n_________________________________________________________________________________________\nObama team: \xa0""Hmmm
0,"""A good article
0,"""Head's up warning...another source of funding for Media Matters is Peter Lewis of the Progessive Insurance Company. You know
0,"""@sdnoriko LOL as if Capcom listens. Watch them fuck this up too. I hope I am wrong. I love Okami."""
1,"""Allinit123
0,"""Fast & furious didn't work out like they planned did it?.............lololololololol"""
0,"""mitt isn't the best candidate for president.......but
1,"""I can't believe the stupid people on this site that have no idea what is going on.\xa0 You fools.\xa0 You are all useful idiots.\xa0 They are hiding the truth because you fools who protect him would look like the useful idiots you are."""
1,"""fucking behave then you prick!"""
0,"""The only ""other"" relevant fact is that HE IS DESTROYING AMERICA!"""
0,"""You are a liar."""
1,"""Is that it??  your sum total to any conversation is first abuse and then calling them a troll..   You are a typical socialist idiot.  Keep up your non existent class warfare
0,"""@beanstalk @briview Welp then NBW right?"""
0,"""Good job
0,"""I say hang is ass in the center of the town to let it be known that this type of behavior gets this type of punishment... The lady had a kid 1 week ago. Women aren't safe to have sex after child birth for AT LEAST 6 weeks. So even if this WAS\\xc2\\xa0consensual
1,"""faggot"""
0,"""You right if you are relaxe then you can give better result or perform and your identity should be from your work."""
1,"""Aimless Abe you are a delusion weirdo that should be locked up inside and kept away from computers.\xa0 Anyone who doubts the lunacy of Abe the moronic prog frog from NYC please read this thread and you will see Abe completely come apart from the seams and go off the deep end."""
0,"""That
0,"""OKC should work out a deal to get a PG who plays more like Parker or CP3.  I think Nash at the point
0,"""Maher's show goes on and on....\nPalin's\xa0 Alakda show gets canceled.\n\nIsn't the ""free market"" wonderful?"""
1,"""Even as a troll you are a pathetic failure."""
0,"""Grazie mille Sabrina! Sei cos\xec dolce.\n\nBaci."""
0,"""yeah well
0,"""um\n\xa0\nholy fuck i need a cigarette"""
1,"""You're a moron
0,"""You seem wistful."""
0,"""Damn
0,"""The laughs you two heard were triggered by memories of his own high-flying exits off moving beasts"""
1,"""Your anti-Semitic rants are not welcomed here. You are a racist moron.\nFU!"""
0,"""@Nonstopdrivel Was FredEx on this team?"""
1,"""god
0,"""stop pretending ur not bradley's side. you're the BS..are u blind don't give us that stupid\xa0long\xa0explainations of yours
0,"""fucking weird game man"""
0,"""I told you I would give it if you did. You started acting likje a tough guy behind your moms computer then I asked you 20 times for an address and you still won't give it."""
0,"""I don't know if Lewis is a little boy or little girl. Either way it becomes the third on my list of petulant idiots. You will understand when you grow up. Ask an old bastard member of your family to explain. Such actions cannot be tolerated. How come you blame the line judge? Weird."""
0,"""thats a pathetic flop fuck you jvg"""
0,"""Why should they bother improving ios if they sell more phones than they care to produce. These advice are better served to the also-runs... wp first and foremost"""
0,"""spursruss: I live in Argentina and its not all Argentinians. The problem being those who are loud on the issue are ill educated and you can be sure they wouldn't be rushing to fight anyone
0,"""you better hope because the Marlins have a history of giving up their superstars"""
0,"""Well
0,"""you mean like your off topic Obama rant bellow?"""
0,"""I hope they do it inconjunction with July 4...."""
0,"""Surely will be a crushing blow
0,"""I haven't watched Fox News in years
0,"""Are you in France?"""
0,"""I'll take that temp...I really hate the heat"""
0,"""Alexis Bledel can act. Wait. Can she? I have this blind spot when it comes to impossibly beautiful women. Shit
0,"""I like your comments.\nHowever I would go one step further.  It's not time to ""let"" the people of IL fight back.\nRather the citizens of IL just need to fight back period.  \nI will carry next time I travel into ""little Beirut"".  i.e. Chicago"""
1,"""Fact : Georgia passed a strict immigration policy and most of the Latino farm workers left the area. Vidalia Georgia now has over 3000 agriculture job openings and they have been able to fill about 250 of them in past year. All you White Real Americans who are looking for work that the Latinos stole from you..Where are you ? The jobs are i Vadalia just waiting for you..Or maybe its the fact that you would rather collect unemployment like the rest of the Tea Klaners.. You scream..you complain..and you sit at home in your wife beaters and drink beer..Typical Real White Tea Klan...."""
1,"""Of course you would bottom feeder ..."""
0,"""M\xe1tenlos!!\nhttp://1.bp.blogspot.com/-YVSZmVv2iRw/Tmo8KFaUGMI/AAAAAAAAA0k/NlLAahKNnis/s1600/kill_it_with_fire_KILL_IT_KILL_IT_WITH_FIRE-s670x394-132457.jpg"""
1,"""You are\xa0 a fukin moron. \xa0\xa0 You are just butthurt that you got rejected on WIkipedia.\n\nCall yoursilf scolar or whatever.\xa0 I am better than you
0,"""He is doing what any president doe's on this day.\nI do not recall if other presidents appeared at the Wall.\n\nelection year.... yea
